Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) Sample 4,Area Sample 4,#Peptides,#Unique,#Spec Sample 4,PTM,Avg. Mass,Description
1,419908,tr|F1RX36|F1RX36_PIG,381.49,35,35,6.1178E6,191,191,811,Oxidation (M),101096,Fibrinogen alpha chain OS=Sus scrofa OX=9823 GN=FGA PE=1 SV=4
2,318305,P27917|APOC3_PIG,336.50,68,68,8.5357E5,75,75,484,Oxidation (M),10704,Apolipoprotein C-III OS=Sus scrofa OX=9823 GN=APOC3 PE=1 SV=2
4,419909,tr|F1RX37|F1RX37_PIG,317.98,13,13,1.1231E6,52,52,308,Oxidation (M),60843,Fibrinogen beta chain OS=Sus scrofa OX=9823 GN=FGB PE=1 SV=4
3,318471,P01965|HBA_PIG,291.02,71,71,1.2507E6,63,63,406,Oxidation (M),15039,Hemoglobin subunit alpha OS=Sus scrofa OX=9823 GN=HBA PE=1 SV=1
7,318311,P18648|APOA1_PIG,246.28,44,44,1.6847E5,24,24,76,Oxidation (M),30325,Apolipoprotein A-I OS=Sus scrofa OX=9823 GN=APOA1 PE=1 SV=4
5,318303,P51524|PF11_PIG,230.89,32,32,1.2454E6,35,16,301,,23956,Prophenin and tritrpticin precursor (Fragment) OS=Sus scrofa OX=9823 PE=1 SV=1
9,319005,P02067|HBB_PIG,230.25,50,50,1.4691E5,26,26,42,Oxidation (M),16166,Hemoglobin subunit beta OS=Sus scrofa OX=9823 GN=HBB PE=1 SV=3
6,318310,P80054|PR39_PIG,207.25,28,28,1.1922E5,22,3,82,,19477,Antibacterial protein PR-39 OS=Sus scrofa OX=9823 GN=PR39 PE=1 SV=2
11,318329,Q95274|TYB4_PIG,195.01,57,57,4.5991E4,19,18,39,,5053,Thymosin beta-4 OS=Sus scrofa OX=9823 GN=TMSB4 PE=3 SV=3
10,318313,P19619|ANXA1_PIG,188.51,5,5,4.2277E4,10,10,40,,38759,Annexin A1 OS=Sus scrofa OX=9823 GN=ANXA1 PE=1 SV=3
12,318301,Q6QAQ1|ACTB_PIG,182.95,23,23,3.2745E4,19,19,36,Oxidation (M),41737,Actin  cytoplasmic 1 OS=Sus scrofa OX=9823 GN=ACTB PE=1 SV=2
14,318380,P50390|TTHY_PIG,172.58,23,23,2.5441E4,7,7,24,Oxidation (M),16081,Transthyretin OS=Sus scrofa OX=9823 GN=TTR PE=1 SV=1
15,318803,P80272|HMGN2_PIG,167.13,49,49,2.2386E4,10,10,21,,9379,Non-histone chromosomal protein HMG-17 OS=Sus scrofa OX=9823 GN=HMGN2 PE=1 SV=2
19,318326,P79263|ITIH4_PIG,151.38,7,7,1.0607E5,8,8,15,Oxidation (M),102146,Inter-alpha-trypsin inhibitor heavy chain H4 OS=Sus scrofa OX=9823 GN=ITIH4 PE=1 SV=1
26,318350,P06348|H1T_PIG,147.17,11,11,6.2879E3,8,8,9,,22059,Histone H1t OS=Sus scrofa OX=9823 GN=H1-6 PE=1 SV=1
13,318328,P01025|CO3_PIG,142.28,3,3,1.6372E4,10,10,24,Oxidation (M),186806,Complement C3 OS=Sus scrofa OX=9823 GN=C3 PE=1 SV=2
8,319560,Q8SPS7|HPT_PIG,140.54,5,5,3.5267E5,5,5,63,Oxidation (M),38482,Haptoglobin OS=Sus scrofa OX=9823 GN=HP PE=1 SV=1
33,318337,Q767L7|TBB5_PIG,136.16,8,8,3.1954E3,4,4,4,Oxidation (M),49671,Tubulin beta chain OS=Sus scrofa OX=9823 GN=TUBB PE=1 SV=1
22,318307,P02543|VIME_PIG,135.88,6,6,1.2827E4,8,8,12,Oxidation (M),53668,Vimentin OS=Sus scrofa OX=9823 GN=VIM PE=1 SV=2
17,318306,P0DSO0|SAA2_PIG,134.52,41,41,9.772E3,12,12,19,Oxidation (M),14418,Serum amyloid A-2 protein OS=Sus scrofa OX=9823 GN=SAA2 PE=3 SV=1
20,318560,P09571|TRFE_PIG,134.43,8,8,4.2575E4,9,8,14,,76968,Serotransferrin OS=Sus scrofa OX=9823 GN=TF PE=1 SV=2
24,318323,P06867|PLMN_PIG,132.34,2,2,1.7919E4,8,8,10,,90615,Plasminogen OS=Sus scrofa OX=9823 GN=PLG PE=1 SV=3
23,318314,P29700|FETUA_PIG,124.49,11,11,2.8528E3,5,5,12,,38425,Alpha-2-HS-glycoprotein (Fragment) OS=Sus scrofa OX=9823 GN=AHSG PE=1 SV=1
21,319333,P17741|HMGB2_PIG,123.28,14,14,5.9524E3,9,9,14,,24133,High mobility group protein B2 OS=Sus scrofa OX=9823 GN=HMGB2 PE=1 SV=2
25,318359,P18650|APOE_PIG,120.47,13,13,8.4926E3,8,8,10,,36599,Apolipoprotein E OS=Sus scrofa OX=9823 GN=APOE PE=1 SV=2
16,318340,Q95JC9|PRP_PIG,96.71,2,2,5.0136E4,4,4,21,,62283,Basic proline-rich protein OS=Sus scrofa OX=9823 PE=1 SV=2
29,319102,P51779|CFAD_PIG,88.18,7,7,1.2301E4,3,3,7,Oxidation (M),27764,Complement factor D OS=Sus scrofa OX=9823 GN=CFD PE=2 SV=1
31,318690,P21753|TYB10_PIG,84.00,50,50,4.938E3,3,2,5,,4823,Thymosin beta-10 OS=Sus scrofa OX=9823 GN=TMSB10 PE=1 SV=2
28,319077,O02668|ITIH2_PIG,83.74,2,2,8.7627E3,3,3,7,Oxidation (M),104622,Inter-alpha-trypsin inhibitor heavy chain H2 OS=Sus scrofa OX=9823 GN=ITIH2 PE=2 SV=1
27,319007,Q29052|ITIH1_PIG,83.24,2,2,2.4038E4,3,3,8,,100395,Inter-alpha-trypsin inhibitor heavy chain H1 OS=Sus scrofa OX=9823 GN=ITIH1 PE=2 SV=1
32,318315,Q19AZ8|THRB_PIG,74.01,4,4,2.2941E3,2,2,4,,70066,Prothrombin OS=Sus scrofa OX=9823 GN=F2 PE=2 SV=1
30,318528,P20305|GELS_PIG,73.20,3,3,3.0193E3,3,3,6,Oxidation (M),84775,Gelsolin (Fragment) OS=Sus scrofa OX=9823 GN=GSN PE=1 SV=1
41,318719,P21692|MMP1_PIG,67.72,3,3,9.8412E1,1,1,1,,53666,Interstitial collagenase OS=Sus scrofa OX=9823 GN=MMP1 PE=1 SV=2
40,318542,Q9GLP1|FA5_PIG,59.33,1,1,0,1,1,1,,256078,Coagulation factor V OS=Sus scrofa OX=9823 GN=F5 PE=2 SV=1
34,319760,O97507|FA12_PIG,51.10,2,2,2.1465E3,1,1,3,,68012,Coagulation factor XII OS=Sus scrofa OX=9823 GN=F12 PE=2 SV=1
50,318366,Q8MJ49|OSTF1_PIG,47.43,7,7,4.1044E2,1,1,1,,23740,Osteoclast-stimulating factor 1 OS=Sus scrofa OX=9823 GN=OSTF1 PE=2 SV=1
45,318442,P10668|COF1_PIG,46.63,8,8,1.9354E2,1,1,1,,18519,Cofilin-1 OS=Sus scrofa OX=9823 GN=CFL1 PE=1 SV=3
38,318804,P67985|RL22_PIG,46.62,11,11,1.9244E2,1,1,2,,14759,60S ribosomal protein L22 OS=Sus scrofa OX=9823 GN=RPL22 PE=1 SV=2
35,318428,P00355|G3P_PIG,44.05,4,4,1.069E3,1,1,3,Oxidation (M),35836,Glyceraldehyde-3-phosphate dehydrogenase OS=Sus scrofa OX=9823 GN=GAPDH PE=1 SV=4
51,318332,P80310|S10AC_PIG,43.56,15,15,1.8107E3,1,1,1,,10745,Protein S100-A12 OS=Sus scrofa OX=9823 GN=S100A12 PE=1 SV=2
