Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) Sample 11,Area Sample 11,#Peptides,#Unique,#Spec Sample 11,PTM,Avg. Mass,Description
1,1,tr|F1RX36|F1RX36_PIG,659.96,48,48,3.6238E6,394,394,1583,Oxidation (M),101096,Fibrinogen alpha chain OS=Sus scrofa OX=9823 GN=FGA PE=1 SV=4
2,9,P27917|APOC3_PIG,581.50,76,76,6.7002E6,149,149,1091,Oxidation (M),10704,Apolipoprotein C-III OS=Sus scrofa OX=9823 GN=APOC3 PE=1 SV=2
4,2,P01965|HBA_PIG,511.11,97,97,1.0667E6,166,166,508,Oxidation (M),15039,Hemoglobin subunit alpha OS=Sus scrofa OX=9823 GN=HBA PE=1 SV=1
6,30,tr|F1RX37|F1RX37_PIG,477.13,31,31,2.3918E6,103,103,476,Oxidation (M),60843,Fibrinogen beta chain OS=Sus scrofa OX=9823 GN=FGB PE=1 SV=4
3,4,P51524|PF11_PIG,455.07,60,60,6.0074E6,123,61,960,,23956,Prophenin and tritrpticin precursor (Fragment) OS=Sus scrofa OX=9823 PE=1 SV=1
9,3,P18648|APOA1_PIG,440.69,70,70,4.386E5,72,72,279,Oxidation (M),30325,Apolipoprotein A-I OS=Sus scrofa OX=9823 GN=APOA1 PE=1 SV=4
5,7,P80054|PR39_PIG,414.61,52,52,3.2635E5,81,19,478,,19477,Antibacterial protein PR-39 OS=Sus scrofa OX=9823 GN=PR39 PE=1 SV=2
7,25,P49931|PMP36_PIG,395.91,36,36,7.3823E2,63,1,298,,18647,Antibacterial peptide PMAP-36 OS=Sus scrofa OX=9823 GN=PMAP36 PE=2 SV=1
12,6,P02067|HBB_PIG,380.07,67,67,2.6701E5,48,48,97,Oxidation (M),16166,Hemoglobin subunit beta OS=Sus scrofa OX=9823 GN=HBB PE=1 SV=3
10,8,Q6QAQ1|ACTB_PIG,373.98,52,52,1.2165E5,89,89,134,Oxidation (M),41737,Actin  cytoplasmic 1 OS=Sus scrofa OX=9823 GN=ACTB PE=1 SV=2
13,22,P18650|APOE_PIG,319.14,42,42,6.1737E4,34,34,61,Oxidation (M),36599,Apolipoprotein E OS=Sus scrofa OX=9823 GN=APOE PE=1 SV=2
16,19,Q19AZ8|THRB_PIG,295.42,15,15,5.6064E4,21,21,39,,70066,Prothrombin OS=Sus scrofa OX=9823 GN=F2 PE=2 SV=1
