Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) Sample 7,Area Sample 7,#Peptides,#Unique,#Spec Sample 7,PTM,Avg. Mass,Description
1,419908,tr|F1RX36|F1RX36_PIG,334.85,35,35,2.7536E6,162,162,824,Oxidation (M),101096,Fibrinogen alpha chain OS=Sus scrofa OX=9823 GN=FGA PE=1 SV=4
2,419909,tr|F1RX37|F1RX37_PIG,333.39,17,17,1.814E6,109,109,818,,60843,Fibrinogen beta chain OS=Sus scrofa OX=9823 GN=FGB PE=1 SV=4
3,318471,P01965|HBA_PIG,295.75,96,96,2.6294E5,108,108,270,Oxidation (M),15039,Hemoglobin subunit alpha OS=Sus scrofa OX=9823 GN=HBA PE=1 SV=1
4,319005,P02067|HBB_PIG,228.42,61,61,3.5634E4,37,37,77,Oxidation (M),16166,Hemoglobin subunit beta OS=Sus scrofa OX=9823 GN=HBB PE=1 SV=3
5,318305,P27917|APOC3_PIG,222.61,57,57,5.7395E4,29,29,67,Oxidation (M),10704,Apolipoprotein C-III OS=Sus scrofa OX=9823 GN=APOC3 PE=1 SV=2
8,318311,P18648|APOA1_PIG,146.07,29,29,5.5787E3,10,10,14,Oxidation (M),30325,Apolipoprotein A-I OS=Sus scrofa OX=9823 GN=APOA1 PE=1 SV=4
9,318313,P19619|ANXA1_PIG,138.93,4,4,4.7651E3,6,6,12,,38759,Annexin A1 OS=Sus scrofa OX=9823 GN=ANXA1 PE=1 SV=3
6,318303,P51524|PF11_PIG,135.86,17,17,1.3076E5,12,12,46,,23956,Prophenin and tritrpticin precursor (Fragment) OS=Sus scrofa OX=9823 PE=1 SV=1
6,318304,P51525|PF12_PIG,135.86,18,18,1.3076E5,12,12,46,,25855,Prophenin-2 OS=Sus scrofa OX=9823 PE=2 SV=1
11,318301,Q6QAQ1|ACTB_PIG,134.42,21,21,2.0332E3,7,2,10,Oxidation (M),41737,Actin  cytoplasmic 1 OS=Sus scrofa OX=9823 GN=ACTB PE=1 SV=2
7,318340,Q95JC9|PRP_PIG,133.47,8,8,4.2596E4,7,7,38,,62283,Basic proline-rich protein OS=Sus scrofa OX=9823 PE=1 SV=2
10,318329,Q95274|TYB4_PIG,131.45,57,57,3.5141E3,7,7,11,,5053,Thymosin beta-4 OS=Sus scrofa OX=9823 GN=TMSB4 PE=3 SV=3
14,318302,P68137|ACTS_PIG,124.29,16,16,8.6998E2,6,1,9,Oxidation (M),42051,Actin  alpha skeletal muscle OS=Sus scrofa OX=9823 GN=ACTA1 PE=1 SV=1
13,318380,P50390|TTHY_PIG,123.03,15,15,1.2674E4,5,5,10,,16081,Transthyretin OS=Sus scrofa OX=9823 GN=TTR PE=1 SV=1
15,318315,Q19AZ8|THRB_PIG,108.75,6,6,6.7355E3,5,5,8,,70066,Prothrombin OS=Sus scrofa OX=9823 GN=F2 PE=2 SV=1
19,318803,P80272|HMGN2_PIG,106.57,43,43,3.1186E3,3,3,6,,9379,Non-histone chromosomal protein HMG-17 OS=Sus scrofa OX=9823 GN=HMGN2 PE=1 SV=2
20,318306,P0DSO0|SAA2_PIG,93.92,36,36,2.4064E2,5,5,6,Oxidation (M),14418,Serum amyloid A-2 protein OS=Sus scrofa OX=9823 GN=SAA2 PE=3 SV=1
12,318314,P29700|FETUA_PIG,92.64,9,9,1.4622E3,3,3,10,,38425,Alpha-2-HS-glycoprotein (Fragment) OS=Sus scrofa OX=9823 GN=AHSG PE=1 SV=1
22,318560,P09571|TRFE_PIG,86.47,5,5,1.0717E3,3,3,4,,76968,Serotransferrin OS=Sus scrofa OX=9823 GN=TF PE=1 SV=2
16,318328,P01025|CO3_PIG,74.31,2,2,5.7815E3,3,3,7,,186806,Complement C3 OS=Sus scrofa OX=9823 GN=C3 PE=1 SV=2
23,318949,Q29549|CLUS_PIG,70.46,8,8,1.2274E3,2,2,4,Oxidation (M),51775,Clusterin OS=Sus scrofa OX=9823 GN=CLU PE=1 SV=1
24,318307,P02543|VIME_PIG,70.27,5,5,2.964E2,2,2,3,,53668,Vimentin OS=Sus scrofa OX=9823 GN=VIM PE=1 SV=2
25,318359,P18650|APOE_PIG,64.18,5,5,1.0802E3,2,2,2,,36599,Apolipoprotein E OS=Sus scrofa OX=9823 GN=APOE PE=1 SV=2
28,320057,P50447|A1AT_PIG,57.92,4,4,4.0139E2,1,1,1,,47194,Alpha-1-antitrypsin OS=Sus scrofa OX=9823 GN=SERPINA1 PE=2 SV=1
21,318528,P20305|GELS_PIG,56.79,2,2,2.3633E2,2,2,4,,84775,Gelsolin (Fragment) OS=Sus scrofa OX=9823 GN=GSN PE=1 SV=1
17,319760,O97507|FA12_PIG,50.07,2,2,4.8728E3,1,1,7,,68012,Coagulation factor XII OS=Sus scrofa OX=9823 GN=F12 PE=2 SV=1
34,318810,Q29308|RS19_PIG,45.86,10,10,3.6404E2,1,1,1,,15103,40S ribosomal protein S19 (Fragment) OS=Sus scrofa OX=9823 GN=RPS19 PE=2 SV=3
30,320063,P08835|ALBU_PIG,44.71,2,2,0,1,1,1,,69692,Albumin OS=Sus scrofa OX=9823 GN=ALB PE=1 SV=2
35,318934,P02550|TBA1A_PIG,44.28,3,3,2.5962E2,1,1,1,,50069,Tubulin alpha-1A chain OS=Sus scrofa OX=9823 GN=TUBA1A PE=1 SV=1
35,318935,Q2XVP4|TBA1B_PIG,44.28,3,3,2.5962E2,1,1,1,,50152,Tubulin alpha-1B chain OS=Sus scrofa OX=9823 GN=TUBA1B PE=1 SV=1
27,318839,Q71LE2|H33_PIG,43.20,10,10,3.2209E2,1,1,2,,15328,Histone H3.3 OS=Sus scrofa OX=9823 GN=H3-3A PE=2 SV=3
