Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) Sample 21,Area Sample 21,#Peptides,#Unique,#Spec Sample 21,PTM,Avg. Mass,Description
1,419908,tr|F1RX36|F1RX36_PIG,567.41,38,38,1.8618E6,237,237,1348,Oxidation (M),101096,Fibrinogen alpha chain OS=Sus scrofa OX=9823 GN=FGA PE=1 SV=4
3,318305,P27917|APOC3_PIG,393.44,61,61,2.2503E5,44,44,187,Oxidation (M),10704,Apolipoprotein C-III OS=Sus scrofa OX=9823 GN=APOC3 PE=1 SV=2
6,318311,P18648|APOA1_PIG,351.50,49,49,9.8331E4,31,31,93,Oxidation (M),30325,Apolipoprotein A-I OS=Sus scrofa OX=9823 GN=APOA1 PE=1 SV=4
5,419909,tr|F1RX37|F1RX37_PIG,343.83,12,12,2.909E5,35,35,174,Oxidation (M),60843,Fibrinogen beta chain OS=Sus scrofa OX=9823 GN=FGB PE=1 SV=4
2,318303,P51524|PF11_PIG,332.79,50,50,4.6105E5,55,20,424,,23956,Prophenin and tritrpticin precursor (Fragment) OS=Sus scrofa OX=9823 PE=1 SV=1
4,318310,P80054|PR39_PIG,316.31,34,34,1.3734E4,41,6,185,,19477,Antibacterial protein PR-39 OS=Sus scrofa OX=9823 GN=PR39 PE=1 SV=2
8,318301,Q6QAQ1|ACTB_PIG,314.18,35,35,5.896E4,38,38,75,Oxidation (M),41737,Actin  cytoplasmic 1 OS=Sus scrofa OX=9823 GN=ACTB PE=1 SV=2
7,318306,P0DSO0|SAA2_PIG,263.59,57,57,1.3525E5,21,21,91,,14418,Serum amyloid A-2 protein OS=Sus scrofa OX=9823 GN=SAA2 PE=3 SV=1
11,318329,Q95274|TYB4_PIG,216.86,55,55,2.8344E4,11,9,29,,5053,Thymosin beta-4 OS=Sus scrofa OX=9823 GN=TMSB4 PE=3 SV=3
13,318315,Q19AZ8|THRB_PIG,205.54,10,10,7.0607E3,10,10,14,,70066,Prothrombin OS=Sus scrofa OX=9823 GN=F2 PE=2 SV=1
12,318313,P19619|ANXA1_PIG,203.70,8,8,1.4682E4,7,7,22,Oxidation (M),38759,Annexin A1 OS=Sus scrofa OX=9823 GN=ANXA1 PE=1 SV=3
9,318314,P29700|FETUA_PIG,174.21,11,11,4.2906E4,6,6,61,Oxidation (M),38425,Alpha-2-HS-glycoprotein (Fragment) OS=Sus scrofa OX=9823 GN=AHSG PE=1 SV=1
21,318323,P06867|PLMN_PIG,161.39,2,2,4.8528E3,4,4,6,,90615,Plasminogen OS=Sus scrofa OX=9823 GN=PLG PE=1 SV=3
17,318386,P62936|PPIA_PIG,155.23,13,13,6.6745E3,5,5,11,,17869,Peptidyl-prolyl cis-trans isomerase A OS=Sus scrofa OX=9823 GN=PPIA PE=1 SV=2
10,318560,P09571|TRFE_PIG,154.84,5,5,2.9297E4,6,6,34,,76968,Serotransferrin OS=Sus scrofa OX=9823 GN=TF PE=1 SV=2
15,318332,P80310|S10AC_PIG,152.91,34,34,1.0312E4,4,4,12,,10745,Protein S100-A12 OS=Sus scrofa OX=9823 GN=S100A12 PE=1 SV=2
19,318380,P50390|TTHY_PIG,147.06,11,11,1.0894E4,3,3,8,,16081,Transthyretin OS=Sus scrofa OX=9823 GN=TTR PE=1 SV=1
20,318337,Q767L7|TBB5_PIG,144.40,11,11,1.8393E3,5,5,7,Oxidation (M),49671,Tubulin beta chain OS=Sus scrofa OX=9823 GN=TUBB PE=1 SV=1
24,318803,P80272|HMGN2_PIG,141.75,26,26,4.6055E3,3,3,5,,9379,Non-histone chromosomal protein HMG-17 OS=Sus scrofa OX=9823 GN=HMGN2 PE=1 SV=2
14,318471,P01965|HBA_PIG,141.63,38,38,6.1517E3,7,7,12,,15039,Hemoglobin subunit alpha OS=Sus scrofa OX=9823 GN=HBA PE=1 SV=1
16,318326,P79263|ITIH4_PIG,139.12,3,3,1.3239E4,3,3,11,,102146,Inter-alpha-trypsin inhibitor heavy chain H4 OS=Sus scrofa OX=9823 GN=ITIH4 PE=1 SV=1
18,318328,P01025|CO3_PIG,126.72,1,1,1.3493E4,4,4,9,,186806,Complement C3 OS=Sus scrofa OX=9823 GN=C3 PE=1 SV=2
41,318366,Q8MJ49|OSTF1_PIG,122.99,7,7,5.7774E2,1,1,1,,23740,Osteoclast-stimulating factor 1 OS=Sus scrofa OX=9823 GN=OSTF1 PE=2 SV=1
27,318359,P18650|APOE_PIG,107.47,9,9,1.9867E4,2,2,4,,36599,Apolipoprotein E OS=Sus scrofa OX=9823 GN=APOE PE=1 SV=2
25,318428,P00355|G3P_PIG,94.81,5,5,3.5393E3,2,2,4,Oxidation (M),35836,Glyceraldehyde-3-phosphate dehydrogenase OS=Sus scrofa OX=9823 GN=GAPDH PE=1 SV=4
31,318342,P14632|TRFL_PIG,94.69,3,3,2.3823E2,2,2,2,,77626,Lactotransferrin OS=Sus scrofa OX=9823 GN=LTF PE=1 SV=3
23,319560,Q8SPS7|HPT_PIG,91.83,5,5,1.2271E3,2,2,5,,38482,Haptoglobin OS=Sus scrofa OX=9823 GN=HP PE=1 SV=1
26,318307,P02543|VIME_PIG,91.19,6,6,1.1226E3,3,3,4,Oxidation (M),53668,Vimentin OS=Sus scrofa OX=9823 GN=VIM PE=1 SV=2
35,318839,Q71LE2|H33_PIG,85.76,11,11,1.4294E3,2,2,2,,15328,Histone H3.3 OS=Sus scrofa OX=9823 GN=H3-3A PE=2 SV=3
40,318442,P10668|COF1_PIG,79.35,8,8,7.0249E2,1,1,1,,18519,Cofilin-1 OS=Sus scrofa OX=9823 GN=CFL1 PE=1 SV=3
30,318690,P21753|TYB10_PIG,75.85,45,45,4.8241E2,3,1,3,Oxidation (M),4823,Thymosin beta-10 OS=Sus scrofa OX=9823 GN=TMSB10 PE=1 SV=2
50,318360,O02705|HS90A_PIG,74.07,3,3,1.734E2,1,1,1,Oxidation (M),84775,Heat shock protein HSP 90-alpha OS=Sus scrofa OX=9823 GN=HSP90AA1 PE=2 SV=3
29,318557,P62802|H4_PIG,73.74,23,23,3.0046E3,2,2,3,,11367,Histone H4 OS=Sus scrofa OX=9823 PE=1 SV=2
33,318350,P06348|H1T_PIG,70.70,6,6,2.3698E2,2,2,2,,22059,Histone H1t OS=Sus scrofa OX=9823 GN=H1-6 PE=1 SV=1
32,318934,P02550|TBA1A_PIG,66.25,4,4,5.5825E1,1,1,2,,50069,Tubulin alpha-1A chain OS=Sus scrofa OX=9823 GN=TUBA1A PE=1 SV=1
32,318935,Q2XVP4|TBA1B_PIG,66.25,4,4,5.5825E1,1,1,2,,50152,Tubulin alpha-1B chain OS=Sus scrofa OX=9823 GN=TUBA1B PE=1 SV=1
34,318841,A0PFK5|CAZA1_PIG,63.90,5,5,5.2527E2,1,1,2,,33017,F-actin-capping protein subunit alpha-1 OS=Sus scrofa OX=9823 GN=CAPZA1 PE=1 SV=1
34,318718,Q29221|CAZA2_PIG,63.90,5,5,5.2527E2,1,1,2,,32981,F-actin-capping protein subunit alpha-2 OS=Sus scrofa OX=9823 GN=CAPZA2 PE=2 SV=3
