id,group,day,pig,wound,folder,source_file
Sample 1 Day 1,S. aureus,Day 1,2,1,data/Pig_day_1/230524_Fredrik_Forsberg_DB_Search_Sample_1_3,230524 Sample 1 D1_S1-A1_1_8099.d
Sample 1 Day 2,S. aureus,Day 2,2,1,data/Pig_day_2/2023-02-22_DB_search_Fredrik_Forsberg_Sample_1_344,230302  30SPD Sample 1_S1-A1_1_7718.d
Sample 10 Day 1,S. aureus,Day 1,6,3,data/Pig_day_1/230524_Fredrik_Forsberg_DB_Search_Sample_10_179,230614 Sample 10 D1_S1-A1_1_8216.d
Sample 10 Day 2,S. aureus,Day 2,6,3,data/Pig_day_2/2023-02-22_DB_search_Fredrik_Forsberg_Sample_10_360,230302  30SPD Sample 10_S1-A9_1_7734.d
Sample 11 Day 1,S. aureus,Day 1,6,4,data/Pig_day_1/230524_Fredrik_Forsberg_DB_Search_Sample_11_35,230608 Sample 11 D1_S1-A8_1_8148.d
Sample 11 Day 2,S. aureus,Day 2,6,4,data/Pig_day_2/2023-02-22_DB_search_Fredrik_Forsberg_Sample_11_362,230302  30SPD Sample 11_S1-A10_1_7736.d
Sample 12 Day 1,S. aureus,Day 1,6,6,data/Pig_day_1/230524_Fredrik_Forsberg_DB_Search_Sample_12_38,230608 Sample 12 D1_S1-A9_1_8150.d
Sample 12 Day 2,S. aureus,Day 2,6,6,data/Pig_day_2/2023-02-22_DB_search_Fredrik_Forsberg_Sample_12_326,230221 Sample_12_S1-A2_1_7675.d
Sample 13 Day 1,S. aureus,Day 1,6,11,data/Pig_day_1/230524_Fredrik_Forsberg_DB_Search_Sample_13_41,230608 Sample 13 D1_S1-A10_1_8152.d
Sample 13 Day 2,S. aureus,Day 2,6,11,data/Pig_day_2/2023-02-22_DB_search_Fredrik_Forsberg_Sample_13_334,230221 Sample_13_S1-A3_1_7677.d
Sample 14 Day 1,S. aureus,Day 1,17,1,data/Pig_day_1/230524_Fredrik_Forsberg_DB_Search_Sample_14_44,230608 Sample 14 D1_S1-A11_1_8154.d
Sample 14 Day 2,S. aureus,Day 2,17,1,data/Pig_day_2/2023-02-22_DB_search_Fredrik_Forsberg_Sample_14_364,230302  30SPD Sample 14_S1-A11_1_7738.d
Sample 15 Day 1,S. aureus,Day 1,17,2,data/Pig_day_1/230524_Fredrik_Forsberg_DB_Search_Sample_15_47,230608 Sample 15 D1_S1-A12_1_8156.d
Sample 15 Day 2,S. aureus,Day 2,17,2,data/Pig_day_2/2023-02-22_DB_search_Fredrik_Forsberg_Sample_15_366,230302  30SPD Sample 15_S1-A12_1_7740.d
Sample 16 Day 1,S. aureus,Day 1,17,5,data/Pig_day_1/230524_Fredrik_Forsberg_DB_Search_Sample_16_50,230608 Sample 16 D1_S1-C1_1_8158.d
Sample 16 Day 2,S. aureus,Day 2,17,5,data/Pig_day_2/2023-02-22_DB_search_Fredrik_Forsberg_Sample_16_368,230302  30SPD Sample 16_S1-C1_1_7742.d
Sample 17 Day 1,P. aeruginosa,Day 1,3,1,data/Pig_day_1/230524_Fredrik_Forsberg_DB_Search_Sample_17_9,230524 Sample 17 D1_S1-A4_1_8105.d
Sample 17 Day 2,P. aeruginosa,Day 2,3,1,data/Pig_day_2/2023-02-22_DB_search_Fredrik_Forsberg_Sample_17_370,230302  30SPD Sample 17_S1-C2_1_7744.d
Sample 18 Day 1,P. aeruginosa,Day 1,3,2,data/Pig_day_1/230524_Fredrik_Forsberg_DB_Search_Sample_18_53,230608 Sample 18 D1_S1-C2_1_8160.d
Sample 18 Day 2,P. aeruginosa,Day 2,3,2,data/Pig_day_2/2023-02-22_DB_search_Fredrik_Forsberg_Sample_18_372,230302  30SPD Sample 18_S1-C3_1_7746.d
Sample 19 Day 1,P. aeruginosa,Day 1,3,3,data/Pig_day_1/230524_Fredrik_Forsberg_DB_Search_Sample_19_56,230608 Sample 19 D1_S1-C3_1_8162.d
Sample 19 Day 2,P. aeruginosa,Day 2,3,3,data/Pig_day_2/2023-02-22_DB_search_Fredrik_Forsberg_Sample_19_332,230221 Sample_19_S1-A4_1_7679.d
Sample 2 Day 1,S. aureus,Day 1,2,2,data/Pig_day_1/230524_Fredrik_Forsberg_DB_Search_Sample_2_59,230608 Sample 2 D1_S1-A1_1_8134.d
Sample 2 Day 2,S. aureus,Day 2,2,2,data/Pig_day_2/2023-02-22_DB_search_Fredrik_Forsberg_Sample_2_346,230302  30SPD Sample 2_S1-A2_1_7720.d
Sample 20 Day 1,P. aeruginosa,Day 1,4,3,data/Pig_day_1/230524_Fredrik_Forsberg_DB_Search_Sample_20_12,230524 Sample 20 D1_S1-A5_1_8107.d
Sample 20 Day 2,P. aeruginosa,Day 2,4,3,data/Pig_day_2/2023-02-22_DB_search_Fredrik_Forsberg_Sample_20_330,230221 Sample_20_S1-A5_1_7681.d
Sample 21 Day 1,P. aeruginosa,Day 1,4,4,data/Pig_day_1/230524_Fredrik_Forsberg_DB_Search_Sample_21_62,230608 Sample 21 D1_S1-C4_1_8164.d
Sample 21 Day 2,P. aeruginosa,Day 2,4,4,data/Pig_day_2/2023-02-22_DB_search_Fredrik_Forsberg_Sample_21_374,230302  30SPD Sample 21_S1-C4_1_7748.d
Sample 22 Day 1,P. aeruginosa,Day 1,4,6,data/Pig_day_1/230524_Fredrik_Forsberg_DB_Search_Sample_22_65,230608 Sample 22 D1_S1-C5_1_8166.d
Sample 22 Day 2,P. aeruginosa,Day 2,4,6,data/Pig_day_2/2023-02-22_DB_search_Fredrik_Forsberg_Sample_22_376,230302  30SPD Sample 22_S1-C5_1_7750.d
Sample 23 Day 1,P. aeruginosa,Day 1,4,10,data/Pig_day_1/230524_Fredrik_Forsberg_DB_Search_Sample_23_68,230608 Sample 23 D1_S1-C6_1_8168.d
Sample 23 Day 2,P. aeruginosa,Day 2,4,10,data/Pig_day_2/2023-02-22_DB_search_Fredrik_Forsberg_Sample_23_328,230221 Sample_23_S1-A6_1_7683.d
Sample 24 Day 1,P. aeruginosa,Day 1,8,3,data/Pig_day_1/230524_Fredrik_Forsberg_DB_Search_Sample_24_89,230609 Sample 24 D1_S1-E1_1_8170.d
Sample 24 Day 2,P. aeruginosa,Day 2,8,3,data/Pig_day_2/2023-02-22_DB_search_Fredrik_Forsberg_Sample_24_378,230302  30SPD Sample 24_S1-C6_1_7752.d
Sample 25 Day 1,P. aeruginosa,Day 1,8,4,data/Pig_day_1/230524_Fredrik_Forsberg_DB_Search_Sample_25_92,230609 Sample 25 D1_S1-E2_1_8172.d
