Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) Sample 46,Area Sample 46,#Peptides,#Unique,#Spec Sample 46,PTM,Avg. Mass,Description
1,1,tr|F1RX36|F1RX36_PIG,302.87,30,30,6.1197E6,113,113,819,Oxidation (M),101096,Fibrinogen alpha chain OS=Sus scrofa OX=9823 GN=FGA PE=1 SV=4
2,6,tr|F1RX37|F1RX37_PIG,254.24,8,8,4.4789E5,46,46,218,,60843,Fibrinogen beta chain OS=Sus scrofa OX=9823 GN=FGB PE=1 SV=4
3,13,P27917|APOC3_PIG,225.87,54,54,5.6573E4,31,31,92,Oxidation (M),10704,Apolipoprotein C-III OS=Sus scrofa OX=9823 GN=APOC3 PE=1 SV=2
6,2,P01965|HBA_PIG,185.51,42,42,1.6526E4,20,20,39,,15039,Hemoglobin subunit alpha OS=Sus scrofa OX=9823 GN=HBA PE=1 SV=1
10,15,P19619|ANXA1_PIG,159.58,5,5,8.8343E3,9,9,14,,38759,Annexin A1 OS=Sus scrofa OX=9823 GN=ANXA1 PE=1 SV=3
8,9,P02067|HBB_PIG,154.65,31,31,2.1786E4,14,14,24,,16166,Hemoglobin subunit beta OS=Sus scrofa OX=9823 GN=HBB PE=1 SV=3
5,133,Q95JC9|PRP_PIG,142.43,6,6,1.9668E4,11,11,41,,62283,Basic proline-rich protein OS=Sus scrofa OX=9823 PE=1 SV=2
4,7,P51524|PF11_PIG,136.57,19,19,2.8318E4,15,15,46,,23956,Prophenin and tritrpticin precursor (Fragment) OS=Sus scrofa OX=9823 PE=1 SV=1
7,24,P29700|FETUA_PIG,117.74,12,12,3.0187E4,5,5,24,,38425,Alpha-2-HS-glycoprotein (Fragment) OS=Sus scrofa OX=9823 GN=AHSG PE=1 SV=1
9,77,Q95274|TYB4_PIG,113.53,57,57,4.1923E3,7,7,15,,5053,Thymosin beta-4 OS=Sus scrofa OX=9823 GN=TMSB4 PE=3 SV=3
14,31,P18650|APOE_PIG,110.99,9,9,3.0502E3,6,6,8,Oxidation (M),36599,Apolipoprotein E OS=Sus scrofa OX=9823 GN=APOE PE=1 SV=2
15,10,Q19AZ8|THRB_PIG,107.08,5,5,2.9983E2,4,4,4,,70066,Prothrombin OS=Sus scrofa OX=9823 GN=F2 PE=2 SV=1
12,27,P01025|CO3_PIG,101.90,3,3,6.7158E3,4,4,10,Oxidation (M),186806,Complement C3 OS=Sus scrofa OX=9823 GN=C3 PE=1 SV=2
16,715,P02725|GLPA_PIG,87.58,18,18,5.9718E2,2,2,4,,14000,Glycophorin-A OS=Sus scrofa OX=9823 GN=GYPA PE=1 SV=1
17,59,P06867|PLMN_PIG,74.48,3,3,1.318E2,3,3,3,,90615,Plasminogen OS=Sus scrofa OX=9823 GN=PLG PE=1 SV=3
18,190,P50390|TTHY_PIG,65.32,11,11,1.1538E3,2,2,3,,16081,Transthyretin OS=Sus scrofa OX=9823 GN=TTR PE=1 SV=1
22,5,P18648|APOA1_PIG,60.94,8,8,2.7281E2,2,2,2,,30325,Apolipoprotein A-I OS=Sus scrofa OX=9823 GN=APOA1 PE=1 SV=4
28,700,P80272|HMGN2_PIG,60.67,14,14,0,1,1,1,,9379,Non-histone chromosomal protein HMG-17 OS=Sus scrofa OX=9823 GN=HMGN2 PE=1 SV=2
19,83,P50447|A1AT_PIG,55.49,4,4,2.7353E2,1,1,2,,47194,Alpha-1-antitrypsin OS=Sus scrofa OX=9823 GN=SERPINA1 PE=2 SV=1
11,47,O97507|FA12_PIG,48.86,2,2,2.605E4,1,1,11,,68012,Coagulation factor XII OS=Sus scrofa OX=9823 GN=F12 PE=2 SV=1
31,76,Q29308|RS19_PIG,44.78,10,10,0,1,1,1,,15103,40S ribosomal protein S19 (Fragment) OS=Sus scrofa OX=9823 GN=RPS19 PE=2 SV=3
20,640,Q29052|ITIH1_PIG,43.81,1,1,1.8851E2,1,1,2,,100395,Inter-alpha-trypsin inhibitor heavy chain H1 OS=Sus scrofa OX=9823 GN=ITIH1 PE=2 SV=1
27,766,Q9GLP2|PROC_PIG,41.98,3,3,3.7411E2,1,1,1,,51867,Vitamin K-dependent protein C OS=Sus scrofa OX=9823 GN=PROC PE=2 SV=1
21,81,O19084|CDSN_PIG,38.85,5,5,1.2731E3,1,1,2,,21644,Corneodesmosin (Fragment) OS=Sus scrofa OX=9823 GN=CDSN PE=3 SV=1
29,3,Q6QAQ1|ACTB_PIG,35.74,2,2,6.1215E2,1,1,1,,41737,Actin  cytoplasmic 1 OS=Sus scrofa OX=9823 GN=ACTB PE=1 SV=2
29,11,P68137|ACTS_PIG,35.74,2,2,6.1215E2,1,1,1,,42051,Actin  alpha skeletal muscle OS=Sus scrofa OX=9823 GN=ACTA1 PE=1 SV=1
25,272,P79293|MYH7_PIG,33.78,1,1,1.3894E2,1,1,1,,223296,Myosin-7 OS=Sus scrofa OX=9823 GN=MYH7 PE=1 SV=2
26,73,A0P8Z5|UIMC1_PIG,33.60,2,2,2.1719E2,1,1,1,,79863,BRCA1-A complex subunit RAP80 OS=Sus scrofa OX=9823 GN=UIMC1 PE=1 SV=1
24,53,Q9GLP1|FA5_PIG,33.56,0,0,0,1,1,1,,256078,Coagulation factor V OS=Sus scrofa OX=9823 GN=F5 PE=2 SV=1
373,2965,P24854|IBP4_PIG,32.72,7,7,8.3773E2,1,1,1,Oxidation (M),28230,Insulin-like growth factor-binding protein 4 OS=Sus scrofa OX=9823 GN=IGFBP4 PE=1 SV=2
