sample_name,blinded_label,folder,source_file
Sample 11 Day 1,Sample L,data/Rerun_files/Sample_L,FF_T_2404_Pig_Rerun_Sample_L_S1-A12_1_511.d
Sample 14 Day 1,Sample K,data/Rerun_files/Sample_K,FF_T_2404_Pig_Rerun_Sample_K_S1-A11_1_509.d
Sample 17 Day 1,Sample A,data/Rerun_files/Sample_A,FF_T_2404_Pig_Rerun_Sample_A_S1-A1_1_489.d
Sample 2 Day 1,Sample J,data/Rerun_files/Sample_J,FF_T_2404_Pig_Rerun_Sample_J_S1-A10_1_507.d
Sample 22 Day 1,Sample H,data/Rerun_files/Sample_H,FF_T_2404_Pig_Rerun_Sample_H_S1-A8_1_503.d
Sample 24 Day 1,Sample B,data/Rerun_files/Sample_B,FF_T_2404_Pig_Rerun_Sample_B_S1-A2_1_491.d
Sample 30 Day 1,Sample D,data/Rerun_files/Sample_D,FF_T_2404_Pig_Rerun_Sample_D_S1-A4_1_495.d
Sample 35 Day 1,Sample G,data/Rerun_files/Sample_G,FF_T_2404_Pig_Rerun_Sample_G_S1-A7_1_501.d
Sample 39 Day 1,Sample C,data/Rerun_files/Sample_C,FF_T_2404_Pig_Rerun_Sample_C_S1-A3_1_493.d
Sample 44 Day 1,Sample F,data/Rerun_files/Sample_F,FF_T_2404_Pig_Rerun_Sample_F_S1-A6_1_499.d
Sample 46 Day 1,Sample E,data/Rerun_files/Sample_E,FF_T_2404_Pig_Rerun_Sample_E_S1-A5_1_497.d
Sample 70 Day 1,Sample I,data/Rerun_files/Sample_I,FF_T_2404_Pig_Rerun_Sample_I_S1-A9_1_505.d
