Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) Sample 10,Area Sample 10,#Peptides,#Unique,#Spec Sample 10,PTM,Avg. Mass,Description
1,419908,tr|F1RX36|F1RX36_PIG,609.56,42,42,6.6203E6,320,320,1565,Oxidation (M),101096,Fibrinogen alpha chain OS=Sus scrofa OX=9823 GN=FGA PE=1 SV=4
2,419909,tr|F1RX37|F1RX37_PIG,480.19,28,28,2.0876E6,95,95,631,Oxidation (M),60843,Fibrinogen beta chain OS=Sus scrofa OX=9823 GN=FGB PE=1 SV=4
4,318305,P27917|APOC3_PIG,410.49,74,74,4.479E5,55,55,236,Oxidation (M),10704,Apolipoprotein C-III OS=Sus scrofa OX=9823 GN=APOC3 PE=1 SV=2
6,318301,Q6QAQ1|ACTB_PIG,369.04,56,56,1.1341E5,70,70,115,Oxidation (M),41737,Actin  cytoplasmic 1 OS=Sus scrofa OX=9823 GN=ACTB PE=1 SV=2
7,318311,P18648|APOA1_PIG,335.82,44,44,8.6255E4,35,35,72,Oxidation (M),30325,Apolipoprotein A-I OS=Sus scrofa OX=9823 GN=APOA1 PE=1 SV=4
3,318303,P51524|PF11_PIG,308.10,56,56,1.3867E6,50,28,291,,23956,Prophenin and tritrpticin precursor (Fragment) OS=Sus scrofa OX=9823 PE=1 SV=1
8,318471,P01965|HBA_PIG,299.81,77,77,4.6718E4,31,31,61,Oxidation (M),15039,Hemoglobin subunit alpha OS=Sus scrofa OX=9823 GN=HBA PE=1 SV=1
5,318310,P80054|PR39_PIG,281.75,37,37,6.2803E4,30,8,118,,19477,Antibacterial protein PR-39 OS=Sus scrofa OX=9823 GN=PR39 PE=1 SV=2
9,318306,P0DSO0|SAA2_PIG,271.57,71,71,2.5323E4,26,26,39,Oxidation (M),14418,Serum amyloid A-2 protein OS=Sus scrofa OX=9823 GN=SAA2 PE=3 SV=1
14,319005,P02067|HBB_PIG,255.24,37,37,3.2177E4,15,15,29,Oxidation (M),16166,Hemoglobin subunit beta OS=Sus scrofa OX=9823 GN=HBB PE=1 SV=3
12,318307,P02543|VIME_PIG,252.21,27,27,1.253E4,22,22,33,Oxidation (M),53668,Vimentin OS=Sus scrofa OX=9823 GN=VIM PE=1 SV=2
13,318313,P19619|ANXA1_PIG,251.01,4,4,4.2742E4,11,11,32,,38759,Annexin A1 OS=Sus scrofa OX=9823 GN=ANXA1 PE=1 SV=3
11,318560,P09571|TRFE_PIG,249.88,9,9,8.044E4,15,15,33,,76968,Serotransferrin OS=Sus scrofa OX=9823 GN=TF PE=1 SV=2
