Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) Sample 47,Area Sample 47,#Peptides,#Unique,#Spec Sample 47,PTM,Avg. Mass,Description
1,1,tr|F1RX36|F1RX36_PIG,854.70,50,50,1.0792E7,698,698,1971,Oxidation (M),101096,Fibrinogen alpha chain OS=Sus scrofa OX=9823 GN=FGA PE=1 SV=4
3,2,P01965|HBA_PIG,720.68,97,97,4.412E6,461,461,1279,Oxidation (M),15039,Hemoglobin subunit alpha OS=Sus scrofa OX=9823 GN=HBA PE=1 SV=1
4,13,P27917|APOC3_PIG,653.49,79,79,6.3477E6,208,208,773,Oxidation (M),10704,Apolipoprotein C-III OS=Sus scrofa OX=9823 GN=APOC3 PE=1 SV=2
8,5,P18648|APOA1_PIG,575.98,84,84,1.8839E6,193,193,432,Oxidation (M),30325,Apolipoprotein A-I OS=Sus scrofa OX=9823 GN=APOA1 PE=1 SV=4
5,6,tr|F1RX37|F1RX37_PIG,566.77,36,36,8.4456E6,137,137,709,Oxidation (M),60843,Fibrinogen beta chain OS=Sus scrofa OX=9823 GN=FGB PE=1 SV=4
7,3,Q6QAQ1|ACTB_PIG,563.76,77,77,5.3759E5,259,96,490,Oxidation (M),41737,Actin  cytoplasmic 1 OS=Sus scrofa OX=9823 GN=ACTB PE=1 SV=2
13,15,P19619|ANXA1_PIG,543.26,62,62,6.4821E5,118,118,221,Oxidation (M),38759,Annexin A1 OS=Sus scrofa OX=9823 GN=ANXA1 PE=1 SV=3
2,7,P51524|PF11_PIG,535.50,74,74,3.8405E7,195,113,1595,,23956,Prophenin and tritrpticin precursor (Fragment) OS=Sus scrofa OX=9823 PE=1 SV=1
12,9,P02067|HBB_PIG,527.45,77,77,6.5253E5,107,107,236,Oxidation (M),16166,Hemoglobin subunit beta OS=Sus scrofa OX=9823 GN=HBB PE=1 SV=3
9,11,P68137|ACTS_PIG,478.29,56,56,5.5144E3,175,12,294,Oxidation (M),42051,Actin  alpha skeletal muscle OS=Sus scrofa OX=9823 GN=ACTA1 PE=1 SV=1
6,12,P80054|PR39_PIG,458.92,60,60,4.07E5,94,23,518,,19477,Antibacterial protein PR-39 OS=Sus scrofa OX=9823 GN=PR39 PE=1 SV=2
14,26,P0DSO0|SAA2_PIG,457.41,85,85,3.1606E6,104,104,210,Oxidation (M),14418,Serum amyloid A-2 protein OS=Sus scrofa OX=9823 GN=SAA2 PE=3 SV=1
10,30,P49932|PMP37_PIG,454.74,62,62,2.9399E3,86,4,263,,18927,Antibacterial peptide PMAP-37 OS=Sus scrofa OX=9823 GN=PMAP37 PE=2 SV=1
11,23,P49930|PMP23_PIG,441.40,53,53,1.6881E4,78,7,236,,17486,Antibacterial peptide PMAP-23 OS=Sus scrofa OX=9823 GN=PMAP23 PE=2 SV=1
16,4,P02543|VIME_PIG,425.65,49,49,3.1492E5,91,91,151,Oxidation (M),53668,Vimentin OS=Sus scrofa OX=9823 GN=VIM PE=1 SV=2
22,84,P62936|PPIA_PIG,420.13,62,62,1.8872E5,57,57,96,Oxidation (M),17869,Peptidyl-prolyl cis-trans isomerase A OS=Sus scrofa OX=9823 GN=PPIA PE=1 SV=2
20,10,Q19AZ8|THRB_PIG,388.89,24,24,4.7544E5,49,49,100,,70066,Prothrombin OS=Sus scrofa OX=9823 GN=F2 PE=2 SV=1
18,61,P06348|H1T_PIG,381.28,29,29,7.8003E5,56,56,123,,22059,Histone H1t OS=Sus scrofa OX=9823 GN=H1-6 PE=1 SV=1
21,14,P00355|G3P_PIG,380.25,67,67,1.4613E5,52,52,97,Oxidation (M),35836,Glyceraldehyde-3-phosphate dehydrogenase OS=Sus scrofa OX=9823 GN=GAPDH PE=1 SV=4
24,31,P18650|APOE_PIG,379.10,54,54,1.8366E5,43,43,84,Oxidation (M),36599,Apolipoprotein E OS=Sus scrofa OX=9823 GN=APOE PE=1 SV=2
15,24,P29700|FETUA_PIG,376.94,30,30,5.9265E5,62,62,207,Oxidation (M),38425,Alpha-2-HS-glycoprotein (Fragment) OS=Sus scrofa OX=9823 GN=AHSG PE=1 SV=1
19,33,P08835|ALBU_PIG,369.37,40,40,2.0988E5,83,83,121,,69692,Albumin OS=Sus scrofa OX=9823 GN=ALB PE=1 SV=2
23,77,Q95274|TYB4_PIG,364.87,95,95,4.447E5,34,33,93,Oxidation (M),5053,Thymosin beta-4 OS=Sus scrofa OX=9823 GN=TMSB4 PE=3 SV=3
17,27,P01025|CO3_PIG,361.03,19,19,3.3711E5,70,70,139,Oxidation (M),186806,Complement C3 OS=Sus scrofa OX=9823 GN=C3 PE=1 SV=2
26,700,P80272|HMGN2_PIG,340.34,89,89,7.3161E4,21,21,43,,9379,Non-histone chromosomal protein HMG-17 OS=Sus scrofa OX=9823 GN=HMGN2 PE=1 SV=2
29,82,Q29549|CLUS_PIG,307.55,22,22,5.7436E4,18,18,36,Oxidation (M),51775,Clusterin OS=Sus scrofa OX=9823 GN=CLU PE=1 SV=1
35,802,P29269|MYL9_PIG,304.33,38,38,5.2524E4,17,17,26,Oxidation (M),19827,Myosin regulatory light polypeptide 9 OS=Sus scrofa OX=9823 GN=MYL9 PE=1 SV=2
28,60,P09571|TRFE_PIG,300.59,16,16,3.6056E4,22,17,37,Oxidation (M),76968,Serotransferrin OS=Sus scrofa OX=9823 GN=TF PE=1 SV=2
33,108,P80310|S10AC_PIG,295.45,70,70,6.8767E4,20,20,27,,10745,Protein S100-A12 OS=Sus scrofa OX=9823 GN=S100A12 PE=1 SV=2
38,1705,Q8MJ49|OSTF1_PIG,290.54,56,56,2.9686E4,17,17,22,Oxidation (M),23740,Osteoclast-stimulating factor 1 OS=Sus scrofa OX=9823 GN=OSTF1 PE=2 SV=1
30,136,P53714|ITB2_PIG,283.77,12,12,3.1541E4,21,21,32,Oxidation (M),84790,Integrin beta-2 OS=Sus scrofa OX=9823 GN=ITGB2 PE=2 SV=1
40,46,P14632|TRFL_PIG,282.57,14,14,5.2776E4,14,13,20,Oxidation (M),77626,Lactotransferrin OS=Sus scrofa OX=9823 GN=LTF PE=1 SV=3
27,96,P16469|LOX15_PIG,278.63,30,30,4.2284E4,31,31,42,Oxidation (M),75004,Polyunsaturated fatty acid lipoxygenase ALOX15 OS=Sus scrofa OX=9823 GN=ALOX15 PE=1 SV=3
31,56,P10668|COF1_PIG,278.46,61,61,4.3162E4,23,23,30,Oxidation (M),18519,Cofilin-1 OS=Sus scrofa OX=9823 GN=CFL1 PE=1 SV=3
37,593,O02668|ITIH2_PIG,258.73,14,14,2.0647E4,17,17,24,Oxidation (M),104622,Inter-alpha-trypsin inhibitor heavy chain H2 OS=Sus scrofa OX=9823 GN=ITIH2 PE=2 SV=1
39,1861,O46409|APOA4_PIG,258.09,31,31,2.8272E4,17,17,22,,43294,Apolipoprotein A-IV OS=Sus scrofa OX=9823 GN=APOA4 PE=2 SV=1
32,48,Q8SPS7|HPT_PIG,257.25,24,24,4.5839E4,15,15,28,Oxidation (M),38482,Haptoglobin OS=Sus scrofa OX=9823 GN=HP PE=1 SV=1
43,29,Q767L7|TBB5_PIG,240.34,30,30,1.3226E4,12,12,19,Oxidation (M),49671,Tubulin beta chain OS=Sus scrofa OX=9823 GN=TUBB PE=1 SV=1
52,697,P62901|RL31_PIG,235.66,26,26,2.0892E4,8,8,12,,14463,60S ribosomal protein L31 OS=Sus scrofa OX=9823 GN=RPL31 PE=1 SV=1
