Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) Sample 25,Area Sample 25,#Peptides,#Unique,#Spec Sample 25,PTM,Avg. Mass,Description
1,1,tr|F1RX36|F1RX36_PIG,552.66,49,49,1.2408E7,470,470,3195,Oxidation (M),101096,Fibrinogen alpha chain OS=Sus scrofa OX=9823 GN=FGA PE=1 SV=4
3,2,P01965|HBA_PIG,528.38,96,96,6.2182E6,233,233,1760,Oxidation (M),15039,Hemoglobin subunit alpha OS=Sus scrofa OX=9823 GN=HBA PE=1 SV=1
2,13,P27917|APOC3_PIG,513.06,79,79,8.131E6,179,179,1899,Oxidation (M),10704,Apolipoprotein C-III OS=Sus scrofa OX=9823 GN=APOC3 PE=1 SV=2
8,9,P02067|HBB_PIG,442.95,76,76,9.3954E5,114,111,395,Oxidation (M),16166,Hemoglobin subunit beta OS=Sus scrofa OX=9823 GN=HBB PE=1 SV=3
6,5,P18648|APOA1_PIG,441.19,82,82,1.8928E6,194,194,817,Oxidation (M),30325,Apolipoprotein A-I OS=Sus scrofa OX=9823 GN=APOA1 PE=1 SV=4
5,6,tr|F1RX37|F1RX37_PIG,424.01,21,21,7.4646E6,76,76,898,Oxidation (M),60843,Fibrinogen beta chain OS=Sus scrofa OX=9823 GN=FGB PE=1 SV=4
4,7,P51524|PF11_PIG,366.20,58,58,1.0779E7,120,86,1484,,23956,Prophenin and tritrpticin precursor (Fragment) OS=Sus scrofa OX=9823 PE=1 SV=1
7,12,P80054|PR39_PIG,306.73,41,41,1.0503E6,62,29,619,,19477,Antibacterial protein PR-39 OS=Sus scrofa OX=9823 GN=PR39 PE=1 SV=2
12,700,P80272|HMGN2_PIG,296.88,82,82,1.9492E5,30,30,138,,9379,Non-histone chromosomal protein HMG-17 OS=Sus scrofa OX=9823 GN=HMGN2 PE=1 SV=2
10,30,P49932|PMP37_PIG,278.99,35,35,1.6904E4,37,3,229,,18927,Antibacterial peptide PMAP-37 OS=Sus scrofa OX=9823 GN=PMAP37 PE=2 SV=1
13,77,Q95274|TYB4_PIG,275.08,95,95,1.6564E6,27,26,127,Oxidation (M),5053,Thymosin beta-4 OS=Sus scrofa OX=9823 GN=TMSB4 PE=3 SV=3
11,23,P49930|PMP23_PIG,274.71,29,29,4.3441E2,34,1,212,,17486,Antibacterial peptide PMAP-23 OS=Sus scrofa OX=9823 GN=PMAP23 PE=2 SV=1
9,27,P01025|CO3_PIG,260.94,9,9,1.3042E6,35,35,318,Oxidation (M),186806,Complement C3 OS=Sus scrofa OX=9823 GN=C3 PE=1 SV=2
15,24,P29700|FETUA_PIG,257.34,21,21,2.6605E5,28,28,109,,38425,Alpha-2-HS-glycoprotein (Fragment) OS=Sus scrofa OX=9823 GN=AHSG PE=1 SV=1
19,3,Q6QAQ1|ACTB_PIG,255.28,31,31,8.6966E4,36,36,71,Oxidation (M),41737,Actin  cytoplasmic 1 OS=Sus scrofa OX=9823 GN=ACTB PE=1 SV=2
16,26,P0DSO0|SAA2_PIG,250.54,57,57,1.6503E5,39,39,98,,14418,Serum amyloid A-2 protein OS=Sus scrofa OX=9823 GN=SAA2 PE=3 SV=1
14,48,Q8SPS7|HPT_PIG,241.93,12,12,1.0142E6,10,10,122,Oxidation (M),38482,Haptoglobin OS=Sus scrofa OX=9823 GN=HP PE=1 SV=1
18,10,Q19AZ8|THRB_PIG,218.34,15,15,1.1885E5,23,23,73,,70066,Prothrombin OS=Sus scrofa OX=9823 GN=F2 PE=2 SV=1
22,15,P19619|ANXA1_PIG,218.19,5,5,5E4,15,15,34,,38759,Annexin A1 OS=Sus scrofa OX=9823 GN=ANXA1 PE=1 SV=3
20,33,P08835|ALBU_PIG,211.83,12,12,1.8483E5,12,12,58,,69692,Albumin OS=Sus scrofa OX=9823 GN=ALB PE=1 SV=2
21,61,P06348|H1T_PIG,211.17,14,14,1.5727E5,21,21,57,,22059,Histone H1t OS=Sus scrofa OX=9823 GN=H1-6 PE=1 SV=1
17,63,P79263|ITIH4_PIG,187.93,10,10,1.0449E5,20,20,73,Oxidation (M),102146,Inter-alpha-trypsin inhibitor heavy chain H4 OS=Sus scrofa OX=9823 GN=ITIH4 PE=1 SV=1
24,489,P17741|HMGB2_PIG,169.38,34,34,2.0411E4,15,11,24,,24133,High mobility group protein B2 OS=Sus scrofa OX=9823 GN=HMGB2 PE=1 SV=2
26,53,Q9GLP1|FA5_PIG,164.84,2,2,1.3755E4,12,12,15,,256078,Coagulation factor V OS=Sus scrofa OX=9823 GN=F5 PE=2 SV=1
25,31,P18650|APOE_PIG,149.66,18,18,1.9721E4,14,14,19,,36599,Apolipoprotein E OS=Sus scrofa OX=9823 GN=APOE PE=1 SV=2
32,60,P09571|TRFE_PIG,149.34,10,10,6.501E3,8,8,10,Oxidation (M),76968,Serotransferrin OS=Sus scrofa OX=9823 GN=TF PE=1 SV=2
30,593,O02668|ITIH2_PIG,137.72,6,6,5.0703E3,10,10,12,,104622,Inter-alpha-trypsin inhibitor heavy chain H2 OS=Sus scrofa OX=9823 GN=ITIH2 PE=2 SV=1
23,2612,P21753|TYB10_PIG,132.95,52,52,1.7398E5,6,5,30,,4823,Thymosin beta-10 OS=Sus scrofa OX=9823 GN=TMSB10 PE=1 SV=2
33,4,P02543|VIME_PIG,128.87,9,9,1.9195E4,7,7,10,,53668,Vimentin OS=Sus scrofa OX=9823 GN=VIM PE=1 SV=2
45,1861,O46409|APOA4_PIG,119.00,15,15,1.2184E3,5,5,5,,43294,Apolipoprotein A-IV OS=Sus scrofa OX=9823 GN=APOA4 PE=2 SV=1
35,14,P00355|G3P_PIG,117.86,17,17,1.2678E4,6,6,10,Oxidation (M),35836,Glyceraldehyde-3-phosphate dehydrogenase OS=Sus scrofa OX=9823 GN=GAPDH PE=1 SV=4
